Name,Place,Type,Price,ReviewsCount,Rating,City,State
BUNK Hotel Amsterdam,"Amsterdam Noord, Amsterdam",Bunk Pod for 2,"₹ 7,887",778,8.4,Amsterdam Noord, Amsterdam
YOTEL Amsterdam,"Amsterdam Noord, Amsterdam",Premium Double Room,"₹ 15,267",500,8.1,Amsterdam Noord, Amsterdam
Multatuli Hotel,"Amsterdam City Center, Amsterdam",Double Room,"₹ 13,063",1605,7.4,Amsterdam City Center, Amsterdam
nhow Amsterdam Rai,"Zuideramstel, Amsterdam",nhow Double or Twin Room with View,"₹ 12,854",500,9,Zuideramstel, Amsterdam
Motel One Amsterdam,"Zuideramstel, Amsterdam",Double Room,"₹ 9,471",500,8.8,Zuideramstel, Amsterdam
INNSiDE by Meliá Amsterdam,"Zuideramstel, Amsterdam",The Innside Guestroom,"₹ 14,123",1264,8.4,Zuideramstel, Amsterdam
Eden Hotel Amsterdam,"Amsterdam City Center, Amsterdam",Small Double Room,"₹ 20,060",500,8.3,Amsterdam City Center, Amsterdam
citizenM Amsterdam South,"Zuideramstel, Amsterdam",King Room,"₹ 14,206",500,8.8,Zuideramstel, Amsterdam
The Alfred Hotel,"Oud Zuid, Amsterdam",Standard Double Room,"₹ 12,655",2069,7.3,Oud Zuid, Amsterdam
Andaz Amsterdam Prinsengracht - a concept by Hyatt,"Amsterdam City Center, Amsterdam",Observatory King,"₹ 45,038",,8.9,Amsterdam City Center, Amsterdam
Hyatt Regency Amsterdam,"Amsterdam City Center, Amsterdam",Twin Room,"₹ 31,228",500,8.5,Amsterdam City Center, Amsterdam
NH Collection Amsterdam Flower Market,"Amsterdam City Center, Amsterdam",Superior Double or Twin Room,"₹ 29,391",500,8.6,Amsterdam City Center, Amsterdam
ibis Styles Amsterdam Central Station,"Amsterdam City Center, Amsterdam",Small Double Room,"₹ 17,798",500,7.9,Amsterdam City Center, Amsterdam
Leonardo Royal Hotel Amsterdam,"Oost, Amsterdam",Queen Room - Disability Access,"₹ 11,336",500,8.5,Oost, Amsterdam
Rho Hotel,"Amsterdam City Center, Amsterdam",Standard Double or Twin Room,"₹ 18,778",2974,8,Amsterdam City Center, Amsterdam
Leonardo Boutique Museumhotel,"Oud Zuid, Amsterdam",Double or Twin Room,"₹ 15,357",500,7.9,Oud Zuid, Amsterdam
Hotel V Nesplein,"Amsterdam City Center, Amsterdam",Comfort Double or Twin Room,"₹ 21,917",1278,8.9,Amsterdam City Center, Amsterdam
"Kimpton De Witt Amsterdam, an IHG Hotel","Amsterdam City Center, Amsterdam",1 Queen or King Bed Essential Room,"₹ 34,617",500,8.8,Amsterdam City Center, Amsterdam
Qbic Hotel WTC Amsterdam,"Zuideramstel, Amsterdam",Standard Double Room - No Window,"₹ 8,083",500,7.9,Zuideramstel, Amsterdam
Hotel Espresso,"Oud West, Amsterdam",Small Double Room,"₹ 12,992",1935,7.8,Oud West, Amsterdam
Hotel Central Park,"Oud Zuid, Amsterdam",Double Room,"₹ 6,794",518,6.8,Oud Zuid, Amsterdam
The White Tulip Hostel,"Amsterdam City Center, Amsterdam",Standard Twin Bunk with Shared Bathroom,"₹ 12,246",2064,7,Amsterdam City Center, Amsterdam
Swissôtel Amsterdam,"Amsterdam City Center, Amsterdam",Classic Double Room,"₹ 21,195",1629,8.6,Amsterdam City Center, Amsterdam
"Holiday Inn Express Amsterdam - City Hall, an IHG Hotel","Amsterdam City Center, Amsterdam",Double Room,"₹ 17,308",500,8.4,Amsterdam City Center, Amsterdam
Hotel Atlantis Amsterdam,"Oud Zuid, Amsterdam",Twin Room,"₹ 9,229",1783,7.4,Oud Zuid, Amsterdam
Holiday Home Green Resort Mooi Bemelen-19,Bemelen,Holiday Home,"₹ 20,982",1,10,Bemelen,
Holiday Home Green Resort Mooi Bemelen-2,Bemelen,Holiday Home,"₹ 26,534",1,9.6,Bemelen,
Holiday Home Green Resort Mooi Bemelen-12,Bemelen,Holiday Home,"₹ 20,982",2,9,Bemelen,
Holiday Home Green Resort Mooi Bemelen-31,Bemelen,Holiday Home,"₹ 20,982",1,9,Bemelen,
Holiday Home Green Resort Mooi Bemelen-15,Bemelen,Holiday Home,"₹ 20,982",1,9,Bemelen,
Holiday Home Green Resort Mooi Bemelen-10,Bemelen,Holiday Home,"₹ 28,330",1,9,Bemelen,
Holiday Home Green Resort Mooi Bemelen-13,Bemelen,Holiday Home,"₹ 28,330",1,9,Bemelen,
Holiday Home Green Resort Mooi Bemelen-16,Bemelen,Holiday Home,"₹ 28,330",4,8.5,Bemelen,
Resort Mooi Bemelen,Bemelen,Two-Bedroom House,"₹ 11,838",1155,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-6,Bemelen,Holiday Home,"₹ 20,982",18,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-3,Bemelen,Holiday Home,"₹ 20,982",5,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-17,Bemelen,Holiday Home,"₹ 20,982",18,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-21,Bemelen,Holiday Home,"₹ 20,982",40,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-10,Bemelen,Holiday Home,"₹ 20,982",18,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-4,Bemelen,Holiday Home,"₹ 20,982",1,8,Bemelen,
Holiday Home Green Resort Mooi Bemelen-11,Bemelen,Holiday Home,"₹ 20,982",18,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-32,Bemelen,Holiday Home,"₹ 20,982",1,8,Bemelen,
Holiday Home Green Resort Mooi Bemelen-33,Bemelen,Holiday Home,"₹ 20,982",1,8,Bemelen,
Holiday Home Green Resort Mooi Bemelen-20,Bemelen,Holiday Home,"₹ 20,982",18,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-18,Bemelen,Holiday Home,"₹ 20,982",18,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-14,Bemelen,Holiday Home,"₹ 20,982",18,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-5,Bemelen,Holiday Home,"₹ 26,534",19,8.1,Bemelen,
Holiday Home Green Resort Mooi Bemelen-3,Bemelen,Holiday Home,"₹ 26,534",18,8,Bemelen,
Holiday Home Green Resort Mooi Bemelen-7,Bemelen,Holiday Home,"₹ 28,330",3,8,Bemelen,
Holiday Home Green Resort Mooi Bemelen-12,Bemelen,Holiday Home,"₹ 28,330",1,8,Bemelen,
Anja's House,Breda,Double Room with Shared Bathroom,"₹ 7,136",88,9.2,Breda,
B&B de Druif,Breda,Two-Bedroom Apartment,"₹ 7,887",36,9.1,Breda,
Cottage Markdal,Breda,Two-Bedroom House,"₹ 11,757",500,9.2,Breda,
Cosy Nock ! Little Gem at City Center with Large Terrace !,Breda,One-Bedroom Apartment,"₹ 19,529",125,9.4,Breda,
Boutique Hotel Het Scheepshuys,Breda,Small Double Room with Shared Bathroom,"₹ 6,940",353,8.7,Breda,
B&B de Bievangh,Breda,Double Room with Private Bathroom,"₹ 6,948",131,8.5,Breda,
Hotel Sutor,Breda,Double Room,"₹ 8,287",841,8.6,Breda,
"Hotel Nassau Breda, Autograph Collection",Breda,"Superior, Guest room, 1 King","₹ 10,340",500,8.9,Breda,
Bliss Boutique Hotel,Breda,Suite,"₹ 15,920",424,8.9,Breda,
Golden Tulip Keyser Breda Centre,Breda,Comfort Twin Room,"₹ 8,381",500,8.2,Breda,
Leonardo Hotel Breda City Center,Breda,Deluxe Double or Twin Room,"₹ 9,396",500,8.1,Breda,
Boutique Nouveau Van Ham,Breda,Classic Double Room,"₹ 9,539",1013,8.4,Breda,
Ingenhousz Breda,Breda,Standard Suite,"₹ 10,140",392,8.4,Breda,
Van der Valk Hotel Breda,Breda,Comfort Double Room with Shower,"₹ 11,430",500,8,Breda,
